Area,Year,Month,Labor Force,Employed,Unemployed,Unemployment Rate %
Brooklyn,2022,1,1213800,1116100,97700,8
Brooklyn,2022,2,1216900,1127500,89300,7.3
Brooklyn,2022,3,1214800,1136400,78400,6.5
Brooklyn,2022,4,1200300,1129800,70500,5.9
Brooklyn,2022,5,1201800,1134900,66900,5.6
Brooklyn,2022,6,1203500,1135800,67700,5.6
Brooklyn,2022,7,1213200,1144500,68700,5.7
Brooklyn,2022,8,1211800,1146300,65500,5.4
Brooklyn,2022,9,1199700,1143000,56700,4.7
Brooklyn,2022,10,1209600,1146400,63200,5.2
Brooklyn,2022,11,1207800,1144100,63800,5.3
Brooklyn,2022,12,1213000,1149800,63200,5.2
Manhattan,2022,1,916500,860200,56300,6.1
Manhattan,2022,2,921300,869000,52200,5.7
Manhattan,2022,3,922400,876200,46200,5
Manhattan,2022,4,911800,870700,41100,4.5
Manhattan,2022,5,914800,874900,39900,4.4
Manhattan,2022,6,917000,875500,41500,4.5
Manhattan,2022,7,922900,881900,41000,4.4
Manhattan,2022,8,922300,883200,39100,4.2
Manhattan,2022,9,915000,880600,34300,3.8
Manhattan,2022,10,921300,883700,37600,4.1
Manhattan,2022,11,919800,881700,38100,4.1
Manhattan,2022,12,924400,886200,38200,4.1
Bronx,2022,1,612200,546100,66100,10.8
Bronx,2022,2,612400,551600,60800,9.9
Bronx,2022,3,607800,555000,52800,8.7
Bronx,2022,4,600700,552800,47900,8
Bronx,2022,5,599000,554700,44300,7.4
Bronx,2022,6,599300,555400,44000,7.3
Bronx,2022,7,604900,560300,44600,7.4
Bronx,2022,8,604300,561300,42900,7.1
Bronx,2022,9,596300,559800,36500,6.1
Bronx,2022,10,601800,560600,41200,6.8
Bronx,2022,11,601500,559700,41800,7
Bronx,2022,12,604100,562400,41700,6.9
Staten Island,2022,1,227500,210400,17000,7.5
Staten Island,2022,2,228100,212500,15500,6.8
Staten Island,2022,3,227300,213600,13700,6
Staten Island,2022,4,225500,213200,12200,5.4
Staten Island,2022,5,225400,213600,11800,5.2
Staten Island,2022,6,226000,214000,12100,5.3
Staten Island,2022,7,228700,216100,12600,5.5
Staten Island,2022,8,228700,216700,12000,5.2
Staten Island,2022,9,225900,216000,9900,4.4
Staten Island,2022,10,227100,216100,11000,4.8
Staten Island,2022,11,227000,216000,11000,4.9
Staten Island,2022,12,227700,216800,10900,4.8
Queens,2022,1,1146100,1060900,85200,7.4
Queens,2022,2,1149500,1071700,77900,6.8
Queens,2022,3,1147400,1079400,68000,5.9
Queens,2022,4,1133900,1073900,60000,5.3
Queens,2022,5,1135300,1078400,57000,5
Queens,2022,6,1136600,1079300,57300,5
Queens,2022,7,1144300,1088000,56300,4.9
Queens,2022,8,1142800,1089800,53000,4.6
Queens,2022,9,1132900,1086700,46200,4.1
Queens,2022,10,1140700,1089400,51200,4.5
Queens,2022,11,1139100,1087400,51700,4.5
Queens,2022,12,1144100,1092800,51300,4.5
